work,word,count,total,fpm,source_id,title,author,pub_date
893,ballad,100,256249,390.24542534800133,inu.30000092253925,An Objective Study of Syllabic Quantity in English Verse: Blank Verse,"Snell, Ada, L. F.",1918
4680,ballad,63,162238,388.3183964299363,uva.x000197113,Essays in criticism,"Arnold, Matthew, 1822-1888",1873
761,ballad,64,167894,381.1928955174098,hvd.32044020532693,Essays in criticism,"Arnold, Matthew, 1822-1888",1866
1002,ballad,41,108007,379.60502560019256,loc.ark:/13960/t41r7b24d,"Currents and eddies in the English romantic generation,","Pierce, F. E. (Frederick Erastus), 1878-1935",1918
756,ballad,64,169817,376.8762844709305,hvd.32044021076682,Essays in criticism,"Arnold, Matthew, 1822-1888",1865
4148,ballad,2,5366,372.71710771524414,uc1.$b31597,"Syllabus of a course of twelve lectures on landmarks of English poetry,","Duff, J. Wight (John Wight), 1866-1944",1895
1319,ballad,31,83854,369.6901757817158,mdp.39015059392020,Introductions to the poets.,"Rawnsley, W. F. (Willingham Franklin), 1845-1927",1912
1633,ballad,67,181290,369.5736113409455,mdp.39015030930088,"A history of English poetry,","Courthope, William John, 1842-1917",1895
1410,ballad,67,182068,367.9943757277501,mdp.39015053245224,"A history of English poetry,","Courthope, William John, 1842-1917",1904
1250,ballad,82,223593,366.7377780163064,mdp.39015060430058,Stanzaic Division in York Play XXXIX,"Miller, Francis H.",1920
4147,ballad,25,69609,359.1489606229079,uc1.$b31630,"The musical basis of verse,","Dabney, J. P. (Julia Parker), 1850-1932",1901
4021,ballad,26,72699,357.6390321737576,uc1.31822012915930,"Interpretation in song,","Greene, Harry Plunket, 1865-1936",1912
94,ballad,34,96432,352.58005641280903,dul1.ark:/13960/t5w67998k,"An introduction to poetry,","Alden, Raymond Macdonald, 1873-1924",1909
2437,ballad,4,11470,348.7358326068004,njp.32101065845495,"Songs of the Ridings,","Moorman, F. W. (Frederic William), 1872-1919",1918
1268,ballad,75,215575,347.9067609880552,mdp.39015060429381,A Scientific Basis for Metrics,"Cobb, Charles W.",1913
1302,ballad,68,195641,347.5754059731856,mdp.39015059489032,Concerning Scansion,"Jacob, Cary F.",1911
4529,ballad,6,17504,342.7787934186471,uc1.$b115529,"Character in the ""Matter of England"" romances.,","Creek, Herbert LeSourd, 1879-",1911
5029,ballad,135,395124,341.66489507091444,inu.30000099860599,Publications of the Modern Language Association of America,,1924
286,ballad,7,20747,337.3981780498385,hvd.hw2g3d,"The poetical works of Oliver Goldsmith, M. B.","Goldsmith, Oliver, 1730?-1774",1803
1064,ballad,7,20764,337.1219418223849,loc.ark:/13960/t06w9vp67,"The poetical works of Oliver Goldsmith, M.B.","Goldsmith, Oliver, 1730?-1774",1803
4879,ballad,35,104002,336.53198976942747,wu.89099138901,"The home book of verse; American and English, 1580-1912,","Stevenson, Burton Egbert, 1872-1962, comp",1915
989,ballad,9,26806,335.745728568231,loc.ark:/13960/t50g4885t,"Introductions to notable poems,","Mabie, Hamilton Wright, 1846-1916",1900
3318,ballad,9,26898,334.5973678340397,nyp.33433074834825,"Introduction to notable poems,","Mabie, Hamilton Wright, 1846-1916",1909
1586,ballad,20,59779,334.56565014469965,mdp.39015031009437,"Political satire in English poetry,","Previté-Orton, C. W. (Charles William), 1877-1947",1910
1838,ballad,35,104711,334.25332582059195,mdp.39015016456348,"The home book of verse, American and English, 1580-1912,","Stevenson, Burton Egbert, 1872-1962. comp",1912
3901,ballad,20,59849,334.1743387525272,uc1.b3512888,Political satire in English poetry,"Previté-Orton, C. W. (Charles William), 1877-1947",1910
1454,ballad,16,48407,330.5307083686244,mdp.39015048721818,"Modern British poetry,","Untermeyer, Louis, 1885-1977",1921
